"""A""","""Agilent Technolog""",51.82,"""10/20/2014""","""2:50pm""","""-0.45 - -0.86%""","3750987
"
"""AA""","""Alcoa Inc. Common""",15.605,"""10/20/2014""","""2:50pm""","""-0.015 - -0.10%""","11186632
"
"""AAPL""","""Apple Inc.""",99.54,"""10/20/2014""","""2:50pm""","""+1.87 - +1.91%""","47073900
"
"""ABBV""","""AbbVie Inc. Commo""",54.45,"""10/20/2014""","""2:50pm""","""+1.08 - +2.02%""","11437267
"
"""ABC""","""AmerisourceBergen""",75.40,"""10/20/2014""","""2:50pm""","""-0.44 - -0.58%""","1556447
"
"""ABT""","""Abbott Laboratori""",41.27,"""10/20/2014""","""2:50pm""","""+0.41 - +1.00%""","3121466
"
"""ACE""","""Ace Limited Commo""",104.65,"""10/20/2014""","""2:50pm""","""+0.04 - +0.04%""","730680
"
"""ACN""","""Accenture plc. Cl""",76.19,"""10/20/2014""","""2:50pm""","""-0.43 - -0.56%""","1697713
"
"""ACT""","""Actavis plc Ordin""",225.62,"""10/20/2014""","""2:50pm""","""+0.89 - +0.40%""","1174664
"
"""ADBE""","""Adobe Systems Inc""",64.45,"""10/20/2014""","""2:50pm""","""-0.07 - -0.11%""","3161649
"
"""ADI""","""Analog Devices"," I""",45.24,"""10/20/2014""","""2:49pm""","""+0.30 - +0.67%""","1334411
"
"""ADM""","""Archer-Daniels-Mi""",45.45,"""10/20/2014""","""2:50pm""","""+0.95 - +2.13%""","3029742
"
"""ADP""","""Automatic Data Pr""",72.92,"""10/20/2014""","""2:50pm""","""+0.24 - +0.33%""","818078
"
"""ADS""","""Alliance Data Sys""",260.76,"""10/20/2014""","""2:48pm""","""+1.04 - +0.40%""","513828
"
"""ADSK""","""Autodesk"," Inc.""",51.34,"""10/20/2014""","""2:50pm""","""+0.55 - +1.08%""","1517269
"
"""ADT""","""ADT Corporation C""",32.76,"""10/20/2014""","""2:50pm""","""-0.07 - -0.21%""","1021769
"
"""AEE""","""Ameren Corporatio""",40.355,"""10/20/2014""","""2:50pm""","""+0.685 - +1.73%""","1099779
"
"""AEP""","""American Electric""",55.3701,"""10/20/2014""","""2:50pm""","""+0.7601 - +1.39%""","1450204
"
"""AES""","""The AES Corporati""",13.32,"""10/20/2014""","""2:50pm""","""+0.03 - +0.23%""","3363897
"
"""AET""","""Aetna Inc. Common""",76.08,"""10/20/2014""","""2:50pm""","""+0.69 - +0.92%""","1169519
"
"""AFL""","""AFLAC Incorporate""",56.99,"""10/20/2014""","""2:50pm""","""-0.02 - -0.04%""","1092209
"
"""AGN""","""Allergan"," Inc. Co""",180.885,"""10/20/2014""","""2:50pm""","""+3.395 - +1.91%""","1352768
"
"""AIG""","""American Internat""",50.90,"""10/20/2014""","""2:50pm""","""+0.14 - +0.28%""","5816104
"
"""AIV""","""Apartment Investm""",33.965,"""10/20/2014""","""2:50pm""","""+0.455 - +1.36%""","419190
"
"""AIZ""","""Assurant"," Inc. Co""",62.5966,"""10/20/2014""","""2:50pm""","""+0.2766 - +0.44%""","288414
"
"""AKAM""","""Akamai Technologi""",54.17,"""10/20/2014""","""2:50pm""","""+0.33 - +0.61%""","1510872
"
"""ALL""","""Allstate Corporat""",60.67,"""10/20/2014""","""2:50pm""","""+0.03 - +0.05%""","1049840
"
"""ALLE""","""Allegion plc Ordi""",46.75,"""10/20/2014""","""2:50pm""","""0.00 - 0.00%""","371300
"
"""ALTR""","""Altera Corporatio""",32.98,"""10/20/2014""","""2:50pm""","""+0.46 - +1.41%""","3228668
"
