"""A""","""Agilent Technolog""",41.50,"""11/12/2014""","""3:53pm""","""-0.16 - -0.38%""","2126018
"
"""AA""","""Alcoa Inc. Common""",16.875,"""11/12/2014""","""3:53pm""","""+0.425 - +2.58%""","14119723
"
"""AAPL""","""Apple Inc.""",111.24,"""11/12/2014""","""3:53pm""","""+1.54 - +1.40%""","40196172
"
"""ABBV""","""AbbVie Inc. Commo""",63.715,"""11/12/2014""","""3:53pm""","""-0.135 - -0.21%""","4101133
"
"""ABC""","""AmerisourceBergen""",88.57,"""11/12/2014""","""3:53pm""","""+0.64 - +0.73%""","941658
"
"""ABT""","""Abbott Laboratori""",44.2035,"""11/12/2014""","""3:53pm""","""-0.0465 - -0.11%""","2736006
"
"""ACE""","""Ace Limited Commo""",110.75,"""11/12/2014""","""3:53pm""","""-0.27 - -0.24%""","776555
"
"""ACN""","""Accenture plc. Cl""",84.17,"""11/12/2014""","""3:53pm""","""+0.23 - +0.27%""","1510226
"
"""ACT""","""Actavis plc Ordin""",241.24,"""11/12/2014""","""3:53pm""","""-2.39 - -0.98%""","2758028
"
"""ADBE""","""Adobe Systems Inc""",71.45,"""11/12/2014""","""3:53pm""","""-0.25 - -0.35%""","1389819
"
"""ADI""","""Analog Devices"," I""",50.27,"""11/12/2014""","""3:53pm""","""+0.13 - +0.26%""","985840
"
"""ADM""","""Archer-Daniels-Mi""",50.725,"""11/12/2014""","""3:53pm""","""-0.395 - -0.77%""","1863263
"
"""ADP""","""Automatic Data Pr""",85.22,"""11/12/2014""","""3:53pm""","""+0.27 - +0.32%""","1280572
"
"""ADS""","""Alliance Data Sys""",283.41,"""11/12/2014""","""3:53pm""","""-0.87 - -0.31%""","286530
"
"""ADSK""","""Autodesk"," Inc.""",59.00,"""11/12/2014""","""3:53pm""","""+0.01 - +0.02%""","1478709
"
"""ADT""","""ADT Corporation C""",36.82,"""11/12/2014""","""3:54pm""","""+1.17 - +3.28%""","4366455
"
"""AEE""","""Ameren Corporatio""",42.625,"""11/12/2014""","""3:54pm""","""-0.685 - -1.58%""","1566099
"
"""AEP""","""American Electric""",56.88,"""11/12/2014""","""3:54pm""","""-1.06 - -1.83%""","2765583
"
"""AES""","""The AES Corporati""",13.425,"""11/12/2014""","""3:54pm""","""-0.065 - -0.48%""","11051722
"
"""AET""","""Aetna Inc. Common""",84.52,"""11/12/2014""","""3:54pm""","""+0.02 - +0.02%""","1498256
"
"""AFL""","""AFLAC Incorporate""",59.19,"""11/12/2014""","""3:54pm""","""+0.15 - +0.25%""","1420445
"
"""AGN""","""Allergan"," Inc. Co""",195.90,"""11/12/2014""","""3:54pm""","""+0.56 - +0.29%""","3561602
"
"""AIG""","""American Internat""",54.34,"""11/12/2014""","""3:54pm""","""-0.02 - -0.04%""","4610837
"
"""AIV""","""Apartment Investm""",36.09,"""11/12/2014""","""3:54pm""","""-0.17 - -0.47%""","830112
"
"""AIZ""","""Assurant"," Inc. Co""",68.19,"""11/12/2014""","""3:54pm""","""+0.38 - +0.56%""","480996
"
"""AKAM""","""Akamai Technologi""",60.76,"""11/12/2014""","""3:54pm""","""-0.29 - -0.48%""","637676
"
"""ALL""","""Allstate Corporat""",67.17,"""11/12/2014""","""3:54pm""","""+0.54 - +0.81%""","1613968
"
"""ALLE""","""Allegion plc Ordi""",52.50,"""11/12/2014""","""3:54pm""","""-0.02 - -0.04%""","493486
"
"""ALTR""","""Altera Corporatio""",34.94,"""11/12/2014""","""3:54pm""","""-0.08 - -0.23%""","1179235
"
"""ALXN""","""Alexion Pharmaceu""",193.90,"""11/12/2014""","""3:54pm""","""-1.02 - -0.52%""","470060
"
"""AMAT""","""Applied Materials""",22.49,"""11/12/2014""","""3:54pm""","""-0.05 - -0.22%""","8331702
"
"""AME""","""AMETEK"," Inc.""",52.20,"""11/12/2014""","""3:54pm""","""-0.11 - -0.21%""","1693438
"
"""AMG""","""Affiliated Manage""",200.15,"""11/12/2014""","""3:54pm""","""+1.08 - +0.54%""","343467
"
"""AMGN""","""Amgen Inc.""",161.97,"""11/12/2014""","""3:54pm""","""-0.45 - -0.28%""","1985393
"
"""AMP""","""Ameriprise Financ""",130.25,"""11/12/2014""","""3:54pm""","""-0.11 - -0.08%""","533895
"
"""AMT""","""American Tower Co""",99.71,"""11/12/2014""","""3:54pm""","""+0.21 - +0.21%""","1496458
"
"""AMZN""","""Amazon.com"," Inc.""",311.61,"""11/12/2014""","""3:54pm""","""-0.40 - -0.13%""","1893754
"
"""AN""","""AutoNation"," Inc. """,57.89,"""11/12/2014""","""3:54pm""","""+0.02 - +0.03%""","493570
"
"""AON""","""Aon plc Class A O""",90.38,"""11/12/2014""","""3:54pm""","""+0.20 - +0.22%""","721166
"
"""APA""","""Apache Corporatio""",73.67,"""11/12/2014""","""3:54pm""","""-1.74 - -2.31%""","2355733
"
"""APC""","""Anadarko Petroleu""",91.29,"""11/12/2014""","""3:54pm""","""-1.72 - -1.85%""","4317872
"
"""APD""","""Air Products and """,134.74,"""11/12/2014""","""3:54pm""","""-0.18 - -0.13%""","734282
"
"""APH""","""Amphenol Corporat""",51.235,"""11/12/2014""","""3:54pm""","""+0.425 - +0.84%""","583674
"
"""ARG""","""Airgas"," Inc. Comm""",114.35,"""11/12/2014""","""3:54pm""","""+0.04 - +0.03%""","138223
"
"""ATI""","""Allegheny Technol""",32.355,"""11/12/2014""","""3:54pm""","""+0.265 - +0.83%""","672912
"
"""AVB""","""AvalonBay Communi""",156.75,"""11/12/2014""","""3:54pm""","""-1.47 - -0.93%""","493394
"
"""AVGO""","""Avago Technologie""",87.11,"""11/12/2014""","""3:54pm""","""+0.95 - +1.10%""","863244
"
"""AVP""","""Avon Products"," In""",10.57,"""11/12/2014""","""3:54pm""","""+0.11 - +1.05%""","5549823
"
"""AVY""","""Avery Dennison Co""",48.11,"""11/12/2014""","""3:54pm""","""+0.15 - +0.31%""","287850
"
"""AXP""","""American Express """,91.54,"""11/12/2014""","""3:54pm""","""-0.20 - -0.22%""","3420273
"
"""AZO""","""AutoZone"," Inc. Co""",569.25,"""11/12/2014""","""3:54pm""","""-1.62 - -0.28%""","144434
"
"""BA""","""Boeing Company (T""",125.92,"""11/12/2014""","""3:54pm""","""+0.56 - +0.45%""","2794430
"
"""BAC""","""Bank of America C""",17.27,"""11/12/2014""","""3:54pm""","""-0.05 - -0.29%""","43187840
"
"""BAX""","""Baxter Internatio""",71.32,"""11/12/2014""","""3:54pm""","""+0.56 - +0.79%""","1868676
"
"""BBBY""","""Bed Bath & Beyond""",71.26,"""11/12/2014""","""3:54pm""","""+1.28 - +1.83%""","1510188
"
"""BBT""","""BB&T Corporation """,37.69,"""11/12/2014""","""3:54pm""","""-0.64 - -1.67%""","6369537
"
"""BBY""","""Best Buy Co."," Inc""",35.20,"""11/12/2014""","""3:54pm""","""+0.37 - +1.06%""","3067684
"
"""BCR""","""C.R. Bard"," Inc. C""",165.15,"""11/12/2014""","""3:55pm""","""+0.88 - +0.54%""","209890
"
"""BDX""","""Becton"," Dickinson""",129.32,"""11/12/2014""","""3:55pm""","""+0.56 - +0.43%""","849994
"
"""BEN""","""Franklin Resource""",56.97,"""11/12/2014""","""3:55pm""","""-0.02 - -0.04%""","660565
"
"""BF.B""","""BF.B""",0.00,"""N/A""","""N/A""","""N/A - N/A""","N/A
"
"""BHI""","""Baker Hughes Inco""",50.995,"""11/12/2014""","""3:55pm""","""-0.485 - -0.94%""","3768411
"
"""BIIB""","""Biogen Idec Inc.""",321.22,"""11/12/2014""","""3:55pm""","""-3.37 - -1.04%""","592003
"
"""BK""","""Bank of New York """,39.76,"""11/12/2014""","""3:55pm""","""+0.31 - +0.79%""","3119479
"
"""BLK""","""BlackRock"," Inc. C""",349.96,"""11/12/2014""","""3:55pm""","""-1.23 - -0.35%""","298882
"
"""BLL""","""Ball Corporation """,65.53,"""11/12/2014""","""3:55pm""","""-0.36 - -0.55%""","619408
"
"""BMS""","""Bemis Company"," In""",39.06,"""11/12/2014""","""3:55pm""","""-0.04 - -0.10%""","475832
"
"""BMY""","""Bristol-Myers Squ""",58.62,"""11/12/2014""","""3:55pm""","""-0.10 - -0.17%""","2814148
"
"""BRCM""","""Broadcom Corporat""",41.155,"""11/12/2014""","""3:55pm""","""-0.055 - -0.13%""","2765647
"
"""BRK.B""","""BRK.B""",0.00,"""N/A""","""N/A""","""N/A - N/A""","N/A
"
"""BSX""","""Boston Scientific""",13.41,"""11/12/2014""","""3:55pm""","""0.00 - 0.00%""","14421695
"
